Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
36 Kr 79     147      78.7 ns      5/2-     +1.124(10)   TDPAD      1968Bl04        PL 26B 134 (68)


36 Kr 80     617      8.3 ps        2+      +0.75(15)     TF        2001Me20       PR C64 024314 (01)
36 Kr 80     1256      7.6 ps        2+       +1.3(7)      TF        2001Me20       PR C64 024314 (01)
36 Kr 80     1436      1.1 ps        4+       +1.8(7)      TF        2001Me20       PR C64 024314 (01)


36 Kr 82     777      4.5 ps        2+      +0.80(13)     TF        2001Me20       PR C64 024314 (01)
36 Kr 82     1821      0.7 ps        4+       +1.2(8)      TF        2001Me20       PR C64 024314 (01)


36 Kr 83      9       157 ns       7/2+     -0.943(2)     ME        1969Ca06        PR 178 1728 (69)


36 Kr 84     882      4.1 ps        2+       +0.54(8)     TF        2001Me20       PR C64 024314 (01)
36 Kr 84     3236       1.83 mus      8+       -1.97(2)    TDPAD      1982Za04        R.Rou 27 33 (82)
36 Kr 84     5373       44 ns       12+      +2.04(12)    TDPAD      1985Ro22        PL 163B 323 (85)


36 Kr 86    1565      0.29 ps       2+       +2.2(4)      TF        2001Me20       PR C64 024314 (01)
36 Kr 86    2250      3.1 ns        4+       +4.1(6)      TF        2014Ku10       PR C89 064305 (14)


37 Rb 80     494      1.63 mus       6+       +3.38(2)    TDPAD      1996Io01        ZP A355 347 (96)


37 Rb 82     192      12.3 ns       6+       +4.02(5)    TDPAD      1996Io01        ZP A355 347 (96)
Chin Phys B19 062701
37 Rb 82     3029      0.40 ps      12-       (+)13(3)     TF        2010Yu03
(10)
Chin Phys B19 062701
37 Rb 82     3501      0.41 ps      13-       (+)13(3)     TF        2010Yu03  Chin Phys B19 062701
(10)
Chin Phys B19 062701
37 Rb 82     4049      0.24 ps      14-       (+)12(3)     TF        2010Yu03  Chin Phys B19 062701
(10)
Chin Phys B19 062701
37 Rb 82     4717      <0.7 ps      15-       (+)12(3)     TF        2010Yu03 Chin Phys B19 062701
(10)


37 Rb 85     514      1.02 mus      9/2+     +6.043(5)    OP/RD      1991Ma21        PRL 66 1681 (91)
37 Rb 85     2826      12.5 ns     (19/2)-    +1.3(4)     TDPAD      1990Ka26         HFI 59 101 (90)

